order_no,user_id,pay_type,pay_status,amount,gift_amount,real_amount,create_time,is_first_order
142180424,10010,3,2,97,0.97,97.97,1765693377,1
109485552,10068,1,4,166,1.66,167.66,1764696247,1
120728761,10068,3,2,76,0.76,76.76,1766261588,0
143853463,10071,5,5,339,3.39,342.39,1766989795,1
128146933,10098,5,5,362,3.62,365.62,1764955555,1
107353400,10098,4,4,260,2.6,262.6,1766883324,0
100467149,10193,3,2,354,3.54,357.54,1765262156,1
118094222,10309,4,4,221,2.21,223.21,1765616191,1
123041550,10309,5,3,175,1.75,176.75,1765821184,0
115271078,10309,4,3,350,3.5,353.5,1766336615,0
102712470,10309,4,5,193,1.93,194.93,1766728954,0
112867552,10419,2,5,181,1.81,182.81,1764902058,1
111418445,10419,4,4,249,2.49,251.49,1766124121,0
110410796,10494,1,2,172,1.72,173.72,1766666148,1
105478028,10494,1,4,346,3.46,349.46,1766683939,0
103013674,10576,2,1,386,3.86,389.86,1765417320,1
143989559,10679,1,4,117,1.17,118.17,1765303115,1
107207819,10748,2,NA,605,6.05,611.05,1766166288,1
136406330,10850,3,1,344,3.44,347.44,1766131692,1
107037798,11046,4,2,85,0.85,85.85,1765499121,1
121646653,11046,2,1,85,0.85,85.85,1766145656,0
132218169,11046,1,2,473,4.73,477.73,1766349005,0
123875956,11046,1,4,191,1.91,192.91,1766777060,0
146160321,11178,2,5,258,2.58,260.58,1764988810,1
146370136,11229,4,4,92,0.92,92.92,1765521844,1
118073540,11345,1,4,218,2.18,220.18,1766211882,1
147442829,11366,5,4,307,3.07,310.07,1764550711,1
117058539,11366,2,1,146,1.46,147.46,1764611641,0
104447972,11366,5,4,411,4.11,415.11,1764853171,0
148152755,11436,4,1,6036,60.36,6096.36,1764657185,1
121188210,11436,4,4,29002,290.02,29292.02,1764657670,0
130191952,11436,NA,5,3235,32.35,3267.35,1764679233,0
107630379,11436,3,4,3479,34.79,3513.79,1764765321,0
112466230,11436,4,4,5043,50.43,5093.43,1764936104,0
124665373,11436,4,2,4186,41.86,4227.86,1765335473,0
118023569,11436,5,2,2380,23.8,2403.8,1765559013,0
111487894,11436,2,4,41575,415.75,41990.75,1765609059,0
123918112,11436,3,4,2072,20.72,2092.72,1765653688,0
133295726,11436,5,2,3350,33.5,3383.5,1765752982,0
114320113,11436,5,4,6305,63.05,6368.05,1766343090,0
124580092,11436,4,2,5041,50.41,5091.41,1766423651,0
137311440,11436,1,4,57444,574.44,58018.44,1766577929,0
107750194,11436,2,4,6385,63.85,6448.85,1766901617,0
132467142,11436,1,4,4206,42.06,4248.06,1767013708,0
113097837,11471,1,5,242,2.42,244.42,1766250671,1
116125565,11549,2,2,375,3.75,378.75,1764742858,1
132120392,11549,5,5,115,1.15,116.15,1764893221,0
142185450,11549,5,2,137,1.37,138.37,1765666097,0
131645417,11549,1,2,497,4.97,501.97,1766411622,0
147703088,11646,2,5,436,4.36,440.36,1764764050,1
115519565,11646,4,2,1112,11.12,1123.12,1765206370,0
145000957,11646,3,4,403,4.03,407.03,1766665944,0
114643513,11663,2,2,252,2.52,254.52,1766187035,1
138966433,11713,5,4,305,3.05,308.05,1764898523,1
136040433,11723,3,4,148,1.48,149.48,1765215511,1
128777370,11723,4,4,104,1.04,105.04,1765652099,0
142884892,11818,2,2,247,2.47,249.47,1766146149,1
145583336,11818,3,NA,321,3.21,324.21,1766991880,0
134123202,11818,3,2,129,1.29,130.29,1767183481,0
112861822,12113,1,2,269,2.69,271.69,1765189861,1
146277033,12171,4,4,153,1.53,154.53,1766039412,1
132972585,12207,5,5,542,5.42,547.42,1765694409,1
127155447,12273,2,4,128,1.28,129.28,1765705933,1
118459175,12291,4,3,271,2.71,273.71,1766668193,1
129323059,12291,2,2,938,9.38,947.38,1767086279,0
100288741,12396,1,5,398,3.98,401.98,1765817841,1
112576626,12396,1,4,299,2.99,301.99,1765886764,0
135014315,12396,5,4,315,3.15,318.15,1766124667,0
107856992,12445,5,4,5016,50.16,5066.16,1764923960,1
120102916,12445,3,4,3206,32.06,3238.06,1765151725,0
101345950,12445,5,2,2251,22.51,2273.51,1765614200,0
119570494,12445,2,5,2281,22.81,2303.81,1765647178,0
116696615,12445,3,5,2580,25.8,2605.8,1765825143,0
136142673,12445,1,5,7087,70.87,7157.87,1766213669,0
132453005,12445,1,4,10428,104.28,10532.28,1766254910,0
104219909,12445,5,3,1962,19.62,1981.62,1766769413,0
115868653,12445,5,4,37382,373.82,37755.82,1766777631,0
125900569,12445,3,1,2073,20.73,2093.73,1766827397,0
116214192,12445,5,4,8960,89.6,9049.6,1766857601,0
109505816,12489,2,4,486,4.86,490.86,1764711582,1
113166356,12489,1,4,196,1.96,197.96,1764742254,0
101424678,12582,4,2,404,4.04,408.04,1764832634,1
133355701,12587,5,2,375,3.75,378.75,1765045585,1
105472295,12603,2,3,235,2.35,237.35,1764588303,1
124821185,12734,2,5,322,3.22,325.22,1765291822,1
111655797,12734,2,2,519,5.19,524.19,1767009653,0
147680643,12801,3,1,264,2.64,266.64,1764884262,1
120210032,12801,2,4,273,2.73,275.73,1764985965,0
147660797,12801,1,1,362,3.62,365.62,1767176678,0
134593537,12861,2,2,402,4.02,406.02,1764697064,1
114821286,12861,3,4,355,3.55,358.55,1765209374,0
109290270,12885,2,2,533,5.33,538.33,1765865570,1
111268487,13140,1,4,287,2.87,289.87,1764949294,1
144463221,13180,5,1,266,2.66,268.66,1765716686,1
145353782,13262,1,2,2592,25.92,2617.92,1764953596,1
135020587,13262,3,5,2817,28.17,2845.17,1764968187,0
107862130,13262,3,4,2703,27.03,2730.03,1765053888,0
110551880,13262,3,4,74403,744.03,75147.03,1765213299,0
126184706,13262,4,4,1307,13.07,1320.07,1765347701,0
102025099,13262,5,3,11561,115.61,11676.61,1765408689,0
124936534,13262,3,2,10985,109.85,11094.85,1765761089,0
127163863,13262,5,2,2030,20.3,2050.3,1765986738,0
101410630,13262,5,3,4640,46.4,4686.4,1766373024,0
105284306,13262,3,4,2505,25.05,2530.05,1766509964,0
105093061,13262,1,2,3373,33.73,3406.73,1766556375,0
125776139,13262,3,4,3132,31.32,3163.32,1766565471,0
106868803,13262,4,1,25660,256.6,25916.6,1766714137,0
103496250,13262,2,4,10403,104.03,10507.03,1766907401,0
131007580,13262,1,2,78447,784.47,79231.47,1767115503,0
142097475,13310,1,5,492,4.92,496.92,1765884489,1
142064280,13310,1,2,257,2.57,259.57,1766271183,0
139616338,13334,4,4,372,3.72,375.72,1766664155,1
129617897,13419,5,5,144,1.44,145.44,1765383922,1
134152165,13419,1,5,79,0.79,79.79,1766318508,0
147631281,13419,4,1,271,2.71,273.71,1766935917,0
129893917,13565,3,2,222,2.22,224.22,1766384445,1
106421319,13657,2,3,1394,13.94,1407.94,1764757538,1
111952636,13657,4,4,41410,414.1,41824.1,1765023859,0
144531125,13657,3,2,8908,89.08,8997.08,1765520093,0
112786459,13657,3,4,8889,88.89,8977.89,1765572925,0
149274049,13657,2,2,2152,21.52,2173.52,1765608488,0
103905528,13657,1,2,21652,216.52,21868.52,1765781497,0
115877715,13657,NA,5,23115,231.15,23346.15,1765787380,0
108917691,13657,4,4,2998,29.98,3027.98,1766164588,0
134103620,13657,4,4,17721,177.21,17898.21,1766556184,0
128959143,13657,1,4,2978,29.78,3007.78,1766581077,0
112513795,13657,5,4,1671,16.71,1687.71,1766902068,0
116074641,13879,3,4,254,2.54,256.54,1766212255,1
131744522,13880,2,2,290,2.9,292.9,1767126845,1
131233636,13948,2,2,281,2.81,283.81,1766384236,1
113815559,14057,1,4,286,2.86,288.86,1764550445,1
113696220,14057,2,5,316,3.16,319.16,1765017638,0
144289535,14158,5,2,175,1.75,176.75,1764950946,1
107696595,14167,3,2,14236,142.36,14378.36,1764569050,1
119407519,14167,3,2,82801,828.01,83629.01,1764764056,0
135022570,14167,1,2,3165,31.65,3196.65,1764766682,0
149750023,14167,4,4,2265,22.65,2287.65,1764821201,0
123978091,14167,5,4,2894,28.94,2922.94,1764879720,0
120913521,14167,4,4,63139,631.39,63770.39,1765022715,0
141186235,14167,3,2,25161,251.61,25412.61,1765111164,0
107602140,14167,2,4,49134,491.34,49625.34,1765250539,0
105436652,14167,3,2,35509,355.09,35864.09,1765435247,0
142478205,14167,5,4,8653,86.53,8739.53,1765475959,0
115211250,14167,3,2,1909,19.09,1928.09,1765562374,0
125349179,14167,2,2,5776,57.76,5833.76,1765735194,0
110145958,14167,2,2,2308,23.08,2331.08,1765737641,0
149926578,14167,2,2,1446,14.46,1460.46,1765866828,0
148786841,14167,1,4,3435,34.35,3469.35,1766038489,0
141600838,14167,3,4,48764,487.64,49251.64,1766039016,0
119530698,14167,1,5,955,9.55,964.55,1766842367,0
119701675,14167,2,4,4213,42.13,4255.13,1767092800,0
111072539,14262,1,4,282,2.82,284.82,1766213436,1
124709113,14464,4,3,299,2.99,301.99,1765242234,1
149004814,14464,5,2,206,2.06,208.06,1765714997,0
139114046,14464,3,2,375,3.75,378.75,1766492227,0
140251148,14464,2,4,90,0.9,90.9,1766711869,0
147980282,14616,5,2,52832,528.32,53360.32,1764593381,1
124904796,14616,5,5,15894,158.94,16052.94,1765285303,0
119171785,14616,3,2,3640,36.4,3676.4,1765387688,0
132447022,14616,5,2,4120,41.2,4161.2,1766059297,0
140191158,14616,1,5,15178,151.78,15329.78,1766090726,0
122387750,14616,3,4,3138,31.38,3169.38,1766161053,0
112052374,14616,1,2,3693,36.93,3729.93,1766319544,0
136873725,14616,3,2,10527,105.27,10632.27,1766355556,0
146099249,14616,5,2,4176,41.76,4217.76,1766588917,0
113698175,14616,3,4,25890,258.9,26148.9,1766960284,0
105590894,14616,5,2,9161,91.61,9252.61,1767064916,0
114305742,14675,2,4,16211,162.11,16373.11,1764744638,1
134014613,14675,1,5,11808,118.08,11926.08,1764916177,0
140328040,14675,5,5,4999,49.99,5048.99,1765059400,0
140458553,14675,2,4,6994,69.94,7063.94,1765344798,0
113898543,14675,3,2,1903,19.03,1922.03,1765497098,0
114840642,14675,5,2,14392,143.92,14535.92,1765518107,0
146034027,14675,5,4,13392,133.92,13525.92,1765520236,0
115125057,14675,4,2,8627,86.27,8713.27,1766019522,0
127549272,14675,2,4,7596,75.96,7671.96,1766059894,0
106947614,14675,4,2,2721,27.21,2748.21,1766078866,0
116925712,14675,5,4,915,9.15,924.15,1766099853,0
144789979,14675,2,4,925,9.25,934.25,1766116331,0
105313158,14675,3,2,1799,17.99,1816.99,1766250938,0
113335441,14675,5,1,2084,20.84,2104.84,1766317846,0
137649248,14675,NA,2,11078,110.78,11188.78,1766326215,0
109505187,14675,2,4,64413,644.13,65057.13,1766579679,0
102914997,14675,2,4,5351,53.51,5404.51,1766902952,0
135466928,14675,4,4,74125,741.25,74866.25,1767077260,0
136044202,14677,4,2,560,5.6,565.6,1764955356,1
105557280,14677,5,4,251,2.51,253.51,1766304960,0
