user_id,total_amount,total_real_amount,total_gift_amount,recharge_count,avg_amount,is_first_order,is_big_recharge,register_time,account_type,register_source,register_area,active_cnt,active_type_1_cnt,active_type_2_cnt,active_type_3_cnt,active_type_4_cnt,active_type_5_cnt,active_type_1_amount,active_type_2_amount,active_type_3_amount,active_type_4_amount,active_type_5_amount,active_amount
10010,97,97.97,0.97,1,97.0,1,0,2025-11-19 03:58:36,2,1,China/Zhejiang-Wenzhou,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,736.0,0.0,773.0,1509.0
10068,242,244.42000000000002,2.42,2,121.0,1,0,2025-10-06 05:31:54,4,3,China/Shanghai-Shanghai,3.0,1.0,1.0,1.0,0.0,0.0,269.0,258.0,140.0,0.0,0.0,667.0
10098,260,262.6,2.6,1,260.0,0,0,2025-11-23 16:17:13,1,2,China/Jiangsu-Suzhou,4.0,0.0,2.0,2.0,0.0,0.0,0.0,462.0,1194.0,0.0,0.0,1656.0
10193,354,357.54,3.54,1,354.0,1,0,2025-10-27 12:12:27,3,1,China/Sichuan-Chengdu,3.0,1.0,1.0,1.0,0.0,0.0,103.0,93.0,421.0,0.0,0.0,617.0
10309,221,223.21,2.21,1,221.0,1,0,2025-11-23 06:30:50,2,1,China/Guangdong-Shenzhen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,249,251.49,2.49,1,249.0,0,0,2025-12-03 00:44:14,3,1,China/Beijing-Beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10494,518,523.18,5.18,2,259.0,1,0,2025-12-21 21:51:43,1,3,China/Guangdong-Shenzhen,3.0,0.0,1.0,1.0,0.0,1.0,0.0,208.0,459.0,0.0,68.0,735.0
10679,117,118.17,1.17,1,117.0,1,0,2025-11-22 21:09:39,2,1,China/Zhejiang-Wenzhou,4.0,0.0,1.0,1.0,1.0,1.0,0.0,137.0,483.0,179.0,17.0,816.0
11046,749,756.49,7.49,3,249.66666666666666,1,0,2025-12-09 12:55:22,3,1,China/Sichuan-Chengdu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11229,92,92.92,0.92,1,92.0,1,0,2025-11-06 03:02:08,2,1,China/Beijing-Beijing,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,395.0,395.0
11345,218,220.18,2.18,1,218.0,1,0,2025-12-09 14:14:16,2,1,China/Jiangsu-Suzhou,5.0,2.0,1.0,2.0,0.0,0.0,341.0,255.0,841.0,0.0,0.0,1437.0
11366,718,725.1800000000001,7.18,2,359.0,1,0,2025-10-22 15:15:08,3,1,China/Beijing-Beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11436,170468,172172.68,1704.68,13,13112.923076923076,0,1,2025-11-07 09:34:29,2,3,China/Shanghai-Shanghai,8.0,0.0,1.0,5.0,1.0,1.0,0.0,268.0,2497.0,57.0,254.0,3076.0
11549,1009,1019.09,10.09,3,336.3333333333333,1,0,2025-10-15 01:53:24,2,1,China/Sichuan-Chengdu,4.0,0.0,1.0,1.0,1.0,1.0,0.0,279.0,242.0,19.0,193.0,733.0
11646,1515,1530.1499999999999,15.149999999999999,2,757.5,0,0,2025-10-15 01:11:48,2,1,China/Beijing-Beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11663,252,254.52,2.52,1,252.0,1,0,2025-12-06 20:38:00,2,1,China/Sichuan-Chengdu,3.0,1.0,2.0,0.0,0.0,0.0,68.0,189.0,0.0,0.0,0.0,257.0
11713,305,308.05,3.05,1,305.0,1,0,2025-11-28 05:31:28,2,1,China/Beijing-Beijing,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,279.0
11723,252,254.51999999999998,2.52,2,126.0,1,0,2025-11-13 09:40:45,2,3,China/Guangdong-Shenzhen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11818,376,379.76,3.7600000000000002,2,188.0,1,0,2025-12-15 05:16:42,2,1,China/Zhejiang-Wenzhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12113,269,271.69,2.69,1,269.0,1,0,2025-11-22 08:16:22,2,1,China/Jiangsu-Suzhou,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,259.0,259.0
12171,153,154.53,1.53,1,153.0,1,0,2025-11-15 08:17:15,4,1,China/Jiangsu-Suzhou,3.0,2.0,1.0,0.0,0.0,0.0,430.0,28.0,0.0,0.0,0.0,458.0
12273,128,129.28,1.28,1,128.0,1,0,2025-10-29 00:28:05,2,1,China/Shanghai-Shanghai,4.0,0.0,1.0,2.0,0.0,1.0,0.0,58.0,1594.0,0.0,135.0,1787.0
12291,938,947.38,9.38,1,938.0,0,0,2025-11-16 15:19:20,1,1,China/Beijing-Beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12396,614,620.14,6.140000000000001,2,307.0,0,0,2025-12-11 05:55:06,2,1,China/Zhejiang-Wenzhou,4.0,0.0,2.0,0.0,2.0,0.0,0.0,166.0,0.0,358.0,0.0,524.0
12445,67243,67915.43000000001,672.43,6,11207.166666666666,1,1,2025-11-08 16:58:00,2,3,China/Jiangsu-Suzhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12489,682,688.82,6.82,2,341.0,1,0,2025-11-01 20:15:10,2,1,China/Shanghai-Shanghai,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287.0,287.0
12582,404,408.04,4.04,1,404.0,1,0,2025-11-13 18:20:30,2,1,China/Jiangsu-Suzhou,2.0,1.0,1.0,0.0,0.0,0.0,299.0,64.0,0.0,0.0,0.0,363.0
12587,375,378.75,3.75,1,375.0,1,0,2025-11-22 18:50:49,2,1,China/Sichuan-Chengdu,5.0,1.0,0.0,2.0,1.0,1.0,119.0,0.0,1681.0,15.0,70.0,1885.0
12734,519,524.19,5.19,1,519.0,0,0,2025-11-29 10:07:07,2,1,China/Zhejiang-Wenzhou,6.0,2.0,4.0,0.0,0.0,0.0,484.0,930.0,0.0,0.0,0.0,1414.0
