register_time,username,useridx,account_type,register_source,agent_id,register_area
1763524716,y640,10010,2,1,60003,China/Zhejiang-Wenzhou
1759728714,l885,10068,4,3,60007,China/Shanghai-Shanghai
1761455291,c427,10071,2,1,60010,China/Shanghai-Shanghai
1763914633,w415,10098,1,2,60015,China/Jiangsu-Suzhou
1761567147,n921,10193,3,1,60079,China/Sichuan-Chengdu
1763879450,d557,10309,2,1,60072,China/Guangdong-Shenzhen
1764722654,m813,10419,3,1,60079,China/Beijing-Beijing
1766353903,c590,10494,1,3,60021,China/Guangdong-Shenzhen
1761408750,o363,10576,2,1,60064,China/Sichuan-Chengdu
1763845779,y132,10679,2,1,60017,China/Zhejiang-Wenzhou
1763394506,u777,10748,2,1,60044,China/Shanghai-Shanghai
1762122838,s162,10850,2,1,60066,China/Beijing-Beijing
1765284922,d718,11046,3,1,60026,China/Sichuan-Chengdu
1761209284,h929,11178,2,2,60019,China/Beijing-Beijing
1762398128,r129,11229,2,1,60073,China/Beijing-Beijing
1765289656,c231,11345,2,1,60015,China/Jiangsu-Suzhou
1761146108,v880,11366,3,1,60047,China/Beijing-Beijing
1762508069,y553,11436,2,3,60067,China/Shanghai-Shanghai
1763651601,m411,11471,2,1,60047,China/Zhejiang-Wenzhou
1760493204,l873,11549,2,1,60024,China/Sichuan-Chengdu
1760490708,p492,11646,2,1,60006,China/Beijing-Beijing
1765053480,o979,11663,2,1,60072,China/Sichuan-Chengdu
1764307888,c874,11713,2,1,60035,China/Beijing-Beijing
1763026845,c834,11723,2,3,60050,China/Guangdong-Shenzhen
1765775802,q789,11818,2,1,60012,China/Zhejiang-Wenzhou
1763799382,a623,12113,2,1,60017,China/Jiangsu-Suzhou
1763194635,r241,12171,4,1,60020,China/Jiangsu-Suzhou
1764455383,d469,12207,2,1,60079,China/Sichuan-Chengdu
1761697685,l428,12273,2,1,60080,China/Shanghai-Shanghai
1763306360,b287,12291,1,1,60012,China/Beijing-Beijing
1765432506,b943,12396,2,1,60075,China/Zhejiang-Wenzhou
1762621080,j514,12445,2,3,53987,China/Jiangsu-Suzhou
1762028110,c497,12489,2,1,60025,China/Shanghai-Shanghai
1763058030,q669,12582,2,1,60025,China/Jiangsu-Suzhou
1763837449,d574,12587,2,1,60001,China/Sichuan-Chengdu
1762617418,v315,12603,2,1,60003,China/Sichuan-Chengdu
1764410827,s627,12734,2,1,60018,China/Zhejiang-Wenzhou
1762921456,y837,12801,2,1,60072,China/Shanghai-Shanghai
1761543686,v398,12861,2,1,60059,China/Guangdong-Shenzhen
1764483664,r312,12885,1,1,60039,China/Guangdong-Shenzhen
1762392597,q317,13140,4,1,60022,China/Shanghai-Shanghai
1759271425,u707,13180,2,1,60059,China/Shanghai-Shanghai
1762479635,k110,13262,2,3,53987,China/Shanghai-Shanghai
1761101489,v381,13310,2,4,60018,China/Jiangsu-Suzhou
1763045962,z790,13334,2,1,60014,China/Beijing-Beijing
1763831195,g109,13419,2,1,60025,China/Shanghai-Shanghai
1760661194,e783,13565,2,1,60008,China/Beijing-Beijing
1762652526,x410,13657,2,3,53987,China/Shanghai-Shanghai
1760857896,z759,13879,2,1,60001,China/Sichuan-Chengdu
1765312655,k651,13880,2,1,60006,China/Zhejiang-Wenzhou
1762767672,i318,13948,2,1,60076,China/Beijing-Beijing
1762475862,d820,14057,2,1,60024,China/Jiangsu-Suzhou
1762258771,r320,14158,2,1,0,China/Shanghai-Shanghai
1762466616,y255,14167,2,1,53987,China/Shanghai-Shanghai
1764486056,o713,14262,2,1,60021,China/Shanghai-Shanghai
1760113094,l168,14464,2,1,60048,China/Sichuan-Chengdu
1762400176,m840,14616,2,3,53987,China/Shanghai-Shanghai
1762901304,l757,14675,2,3,53987,China/Guangdong-Shenzhen
1760961338,c665,14677,2,1,60001,China/Shanghai-Shanghai
1762670886,w356,14714,2,1,60030,China/Sichuan-Chengdu
1764874444,r832,14742,1,4,60005,China/Guangdong-Shenzhen
1762230450,v635,14889,2,1,60043,China/Guangdong-Shenzhen
1763382464,y239,14910,4,1,60019,China/Sichuan-Chengdu
1764001726,u939,14987,2,1,60040,China/Beijing-Beijing
1762939735,q911,15047,2,1,60010,China/Guangdong-Shenzhen
1762248374,y935,15175,2,1,60001,China/Zhejiang-Wenzhou
1762406523,t102,15284,2,3,60072,China/Shanghai-Shanghai
1759309140,w739,15359,2,1,60016,China/Zhejiang-Wenzhou
1759605683,y346,15393,2,1,60025,China/Sichuan-Chengdu
1763890641,n323,15399,1,1,60050,China/Jiangsu-Suzhou
1760408258,p323,15422,2,1,60016,China/Sichuan-Chengdu
1761108952,s267,15660,2,1,60058,China/Zhejiang-Wenzhou
1763690305,o983,15675,2,1,60029,China/Beijing-Beijing
1762586639,d232,15819,2,1,60070,China/Guangdong-Shenzhen
1763213413,h843,15936,2,3,53987,China/Shanghai-Shanghai
1761438429,c346,15939,2,1,60075,China/Jiangsu-Suzhou
1759540383,d192,16126,2,4,60045,China/Jiangsu-Suzhou
1762479742,h421,16143,2,3,60075,China/Shanghai-Shanghai
1762555530,s360,16305,2,3,60062,China/Shanghai-Shanghai
1761083357,r794,16482,2,1,60005,China/Guangdong-Shenzhen
1764747123,i981,16650,2,1,60033,China/Sichuan-Chengdu
1762494852,h161,16741,2,1,60039,China/Beijing-Beijing
1759439581,p468,16823,2,1,60021,China/Jiangsu-Suzhou
1761044509,n485,16983,3,2,60075,China/Zhejiang-Wenzhou
1761288956,p887,17066,2,1,60036,China/Zhejiang-Wenzhou
1764421092,m408,17093,2,1,60068,China/Sichuan-Chengdu
1762521948,y319,17095,2,3,60038,China/Shanghai-Shanghai
1762215376,k253,17112,1,1,60070,China/Sichuan-Chengdu
1764453564,b267,17144,2,1,60064,China/Zhejiang-Wenzhou
1764493582,l904,17337,2,2,0,China/Zhejiang-Wenzhou
1764445614,f573,17414,2,1,60021,China/Shanghai-Shanghai
1760155655,i277,17448,2,1,60004,China/Sichuan-Chengdu
1761855006,p777,17522,2,3,60031,China/Beijing-Beijing
1762045550,u993,17611,1,1,60022,China/Jiangsu-Suzhou
1759317982,t549,17639,4,1,60069,China/Shanghai-Shanghai
1760991578,i485,17658,2,1,60060,China/Guangdong-Shenzhen
1764005072,s528,17660,4,1,60015,China/Guangdong-Shenzhen
1760273216,j134,17819,2,1,60058,China/Zhejiang-Wenzhou
1762911557,p506,17850,4,3,60071,China/Shanghai-Shanghai
1764686031,e762,17853,2,1,60045,China/Sichuan-Chengdu
1765703486,i100,18111,2,1,60014,China/Jiangsu-Suzhou
1759772621,p790,18132,2,1,60030,China/Jiangsu-Suzhou
1760585894,t973,18223,2,4,60001,China/Beijing-Beijing
1765473119,o654,18241,4,1,60024,China/Zhejiang-Wenzhou
1763170293,l787,18404,2,1,60042,China/Sichuan-Chengdu
1759298917,g432,18465,2,1,60004,China/Shanghai-Shanghai
1761554587,x755,18480,2,2,60001,China/Sichuan-Chengdu
1763796876,w768,18514,2,1,60069,China/Shanghai-Shanghai
1762663313,i727,18585,2,3,53987,China/Guangdong-Shenzhen
1762524303,d851,18722,2,2,60001,China/Sichuan-Chengdu
1763050315,s340,18758,2,1,60011,China/Beijing-Beijing
1762980637,i607,18795,1,3,53987,China/Shanghai-Shanghai
1765102396,v818,18810,2,1,60025,China/Sichuan-Chengdu
1765019439,z703,18831,2,2,60058,China/Beijing-Beijing
1759422257,u559,18882,2,1,60004,China/Jiangsu-Suzhou
1760430089,v305,19017,2,1,60039,China/Sichuan-Chengdu
1761253741,u384,19053,1,1,60064,China/Zhejiang-Wenzhou
1764716517,n823,19164,2,1,60057,China/Shanghai-Shanghai
1760782639,t560,19377,4,2,60042,China/Beijing-Beijing
1762538419,h113,19431,2,3,53987,China/Shanghai-Shanghai
1766138220,w939,19464,3,1,60038,China/Jiangsu-Suzhou
1760823539,j356,19594,2,2,60007,China/Zhejiang-Wenzhou
1760583276,z272,19754,2,1,60022,China/Guangdong-Shenzhen
1764493429,e199,19762,2,1,60005,China/Beijing-Beijing
1762688039,s311,19949,2,3,53987,China/Shanghai-Shanghai
1763594543,p353,19999,1,1,60051,China/Shanghai-Shanghai
1763522563,p123,20175,2,1,60012,China/Jiangsu-Suzhou
1766345771,g480,20224,2,2,60073,China/Sichuan-Chengdu
1759371850,b281,20283,2,1,60072,China/Zhejiang-Wenzhou
1760009768,i425,20452,2,2,60026,China/Beijing-Beijing
1761181489,h176,20477,2,1,60038,China/Sichuan-Chengdu
1765704009,p752,20548,2,1,60026,China/Jiangsu-Suzhou
1761000288,d601,20747,2,1,60023,China/Shanghai-Shanghai
1762719631,t146,20833,2,1,60035,China/Guangdong-Shenzhen
1762724843,e748,20840,2,1,60069,China/Sichuan-Chengdu
1761074452,t422,20844,2,1,60040,China/Guangdong-Shenzhen
1762114044,m592,20984,2,3,60012,China/Guangdong-Shenzhen
1764468367,h335,21046,2,1,60036,China/Guangdong-Shenzhen
1764951145,g162,21162,2,1,60066,China/Guangdong-Shenzhen
1762949314,p738,21163,3,2,60008,China/Zhejiang-Wenzhou
1762694645,k233,21184,2,2,60043,China/Sichuan-Chengdu
1762836087,s408,21259,4,2,60062,China/Sichuan-Chengdu
1763200966,u755,21389,3,1,60030,China/Jiangsu-Suzhou
1760874516,w841,21391,2,1,60013,China/Beijing-Beijing
1766322958,t615,21568,2,1,60043,China/Shanghai-Shanghai
1759774377,f481,21678,2,1,60005,China/Guangdong-Shenzhen
1762816395,n683,21731,2,3,53987,China/Shanghai-Shanghai
1762836612,o947,22135,2,3,53987,China/Beijing-Beijing
1765453738,w842,22189,2,1,60043,China/Zhejiang-Wenzhou
1765235969,q634,22190,2,1,60029,China/Guangdong-Shenzhen
1761918888,n203,22221,2,1,60057,China/Guangdong-Shenzhen
1762611541,c739,22227,2,3,53987,China/Shanghai-Shanghai
1762286693,i672,22294,2,1,60076,China/Shanghai-Shanghai
1765000394,u503,22305,2,1,60010,China/Sichuan-Chengdu
1761206523,o291,22329,2,1,60030,China/Jiangsu-Suzhou
1761895856,v839,22339,1,1,60066,China/Shanghai-Shanghai
1762936984,c716,22565,2,1,60057,China/Guangdong-Shenzhen
1762098832,i400,22647,2,1,60076,China/Shanghai-Shanghai
1759567799,v280,22773,2,1,60011,China/Jiangsu-Suzhou
1764963541,t909,22857,2,2,60026,China/Zhejiang-Wenzhou
1762533907,e491,23025,2,3,60064,China/Shanghai-Shanghai
1759415875,l573,23195,2,1,60046,China/Guangdong-Shenzhen
1763042271,h802,23357,2,2,53987,China/Shanghai-Shanghai
1762712656,z866,23499,2,3,53987,China/Shanghai-Shanghai
1759261125,y941,23518,2,1,60022,China/Shanghai-Shanghai
1762455127,m771,23531,2,3,53987,China/Shanghai-Shanghai
1763288149,s490,23638,2,1,60071,China/Beijing-Beijing
1759573803,y598,23667,2,1,60031,China/Shanghai-Shanghai
1765696174,g211,23729,2,2,60003,China/Zhejiang-Wenzhou
1760333473,b659,23789,2,1,60061,China/Shanghai-Shanghai
1761237885,h432,23924,2,1,60007,China/Sichuan-Chengdu
1762463048,t246,23956,3,1,60004,China/Shanghai-Shanghai
1762755254,p466,23985,2,4,60005,China/Shanghai-Shanghai
1764037906,v600,24176,2,1,60028,China/Shanghai-Shanghai
1762601702,x431,24196,2,3,53987,China/Shanghai-Shanghai
1760223772,c311,24352,2,1,60009,China/Zhejiang-Wenzhou
1762560000,e212,24354,2,1,60030,China/Guangdong-Shenzhen
1764375892,f265,24402,2,1,60055,China/Sichuan-Chengdu
1761778834,p336,24445,2,4,60024,China/Sichuan-Chengdu
1764492141,u861,24485,2,1,60066,China/Guangdong-Shenzhen
1760673201,y263,24499,2,1,60029,China/Sichuan-Chengdu
1763108657,m276,24551,2,1,60066,China/Zhejiang-Wenzhou
1760676520,j507,24578,4,1,60065,China/Sichuan-Chengdu
1762449821,p420,24582,2,2,60034,China/Sichuan-Chengdu
1761064282,a533,24725,2,2,60049,China/Zhejiang-Wenzhou
1759888788,u573,24759,2,1,60038,China/Beijing-Beijing
1761044077,n455,24905,2,1,60068,China/Shanghai-Shanghai
1762543325,o216,25094,2,1,60016,China/Zhejiang-Wenzhou
1762699529,k691,25135,2,3,53987,China/Shanghai-Shanghai
1761976853,d140,25336,3,1,60011,China/Shanghai-Shanghai
1762503010,j620,25339,2,3,60051,China/Shanghai-Shanghai
1764522138,a295,25405,2,1,60066,China/Beijing-Beijing
1760708202,d430,25461,4,2,60075,China/Shanghai-Shanghai
1762402914,a277,25507,2,1,60004,China/Sichuan-Chengdu
1760394147,p807,25525,2,2,60017,China/Sichuan-Chengdu
1764969159,w256,25536,2,2,60018,China/Zhejiang-Wenzhou
1760531534,o786,25747,4,3,60017,China/Beijing-Beijing
1760939693,t814,25783,2,1,60008,China/Jiangsu-Suzhou
