order_id,user_id,collect_time,active_id,active_type,status,amount
146387084,50082,1764523673,5,3,2,656
111229669,82988,1765892997,5,3,4,812
113320888,81129,1767140480,5,3,2,713
119899900,77625,1766214775,5,3,2,510
124552990,19949,1765452425,6,3,2,115
139998527,64893,1763670669,10,5,2,271
143641311,17850,1765015628,5,3,2,811
148880651,54147,1765085895,5,3,2,876
123820753,71920,1764315405,1,1,2,156
114731198,35627,1767157369,5,3,2,490
130639234,41223,1765091620,3,2,2,220
108381430,75866,1764395946,5,3,3,505
114822518,25339,1765661237,5,3,2,389
123739169,84986,1762832153,7,4,2,238
137909995,73601,1765101289,5,3,2,659
131623228,40472,1765301022,5,3,2,394
100614622,26160,1764900864,5,3,2,717
147087539,72739,1765681092,8,4,2,137
136111628,67020,1766085348,10,5,2,105
137755868,46425,1765957037,5,3,2,719
143033361,61192,1763321633,9,5,2,14
146771145,64893,1763603086,9,5,2,94
133253497,19431,1766289116,5,3,2,755
135677037,51279,1763930644,5,3,2,980
105782246,50082,1764159825,6,3,2,72
121383891,50726,1766754846,5,3,2,399
117334909,69669,1762961511,5,3,2,446
142138818,17095,1766462275,5,3,2,529
141684275,71868,1764674139,8,4,2,282
104968385,45715,1763225396,9,5,3,19
144634476,59669,1762972692,5,3,2,977
108241787,25878,1766902688,7,4,2,85
141152864,75866,1762962600,5,3,1,542
107538952,88442,1763679764,5,3,2,549
102348443,83031,1764255523,5,3,2,405
145143596,37258,1765992934,5,3,2,612
108460797,21731,1765142375,5,3,2,352
104917669,57302,1766259746,8,4,2,64
122861024,50726,1762679388,5,3,2,857
103106076,81041,1764382599,5,3,2,791
117867883,25878,1765957837,9,5,2,199
136621040,46817,1765308435,5,3,2,954
132812108,48331,1765868875,5,3,2,763
116102870,48204,1764176167,5,3,2,848
128255653,54738,1765245110,5,3,2,988
148060624,60043,1764321244,5,3,2,319
147285305,88309,1764365687,5,3,2,835
101612191,23357,1766906691,5,3,2,365
109962447,57728,1764358005,5,3,2,339
114481985,80939,1763896737,9,5,2,194
114653158,34579,1764709401,9,5,2,75
132852582,18585,1764029567,5,3,2,451
142994357,57130,1764433026,5,3,2,341
137397821,35627,1763637635,1,1,2,42
140102855,75143,1764487740,5,3,2,360
131737503,46323,1762788181,5,3,2,639
149985266,33352,1763770726,3,2,2,81
143232181,54738,1764823609,5,3,2,505
105652954,34579,1765934518,9,5,2,83
140098629,23956,1766172270,5,3,2,784
106481898,48331,1765475607,11,2,2,13
124259506,75158,1764530825,5,3,2,764
107746117,84780,1766201140,5,3,2,984
105524885,39754,1765851512,4,2,2,11
148320993,37167,1766019146,5,3,2,555
106767568,87309,1766134465,5,3,2,915
116805323,43314,1765853460,5,3,2,729
113140772,14167,1767161980,4,2,2,190
131099503,17850,1766115063,10,5,2,48
147365551,75866,1765769475,5,3,2,382
123114737,41995,1765836832,5,3,2,543
145015291,69676,1762789919,5,3,2,394
120456821,69676,1764180419,5,3,2,701
122700495,33468,1763307516,5,3,2,941
134085166,19431,1762613162,5,3,2,490
133786341,52923,1763987126,5,3,2,897
114471729,76273,1764972654,5,3,2,411
130557195,87309,1766853289,5,3,2,391
134968312,77625,1763557108,5,3,1,459
147890136,82798,1764130044,5,3,2,490
129387746,39402,1764904510,5,3,2,969
124054855,69669,1762359571,2,1,2,146
144670377,66935,1766043638,5,3,2,422
129160701,76002,1763798583,5,3,2,720
105775185,54147,1767170654,5,3,2,450
136314427,86532,1765380318,5,3,2,800
116317798,40284,1764696937,6,3,4,81
106952876,88992,1764738360,5,3,2,411
113907693,54433,1765991944,3,2,2,226
107297380,48204,1766116451,5,3,2,405
116365125,59215,1763088093,8,4,2,214
123244961,37655,1765070847,5,3,2,545
148438640,26508,1765308329,12,1,2,115
134993386,57302,1765991762,5,3,2,425
149134986,68832,1765626659,2,1,2,246
135223778,33352,1766102094,5,3,2,590
120584142,43314,1764471869,6,3,2,186
118257670,40472,1765592982,5,3,2,432
141365408,48204,1763359165,5,3,2,500
106960172,82988,1764000280,5,3,2,820
145671558,41995,1767130315,8,4,2,223
132485144,61192,1764807914,5,3,2,718
136403556,34001,1765224831,10,5,2,262
106036660,66935,1763660260,5,3,2,775
133570278,23956,1765525937,11,2,2,52
145246051,26508,1763136129,5,3,3,423
118947013,14167,1763927114,12,1,2,63
100935225,75866,1766515541,5,3,2,765
117913739,87309,1763389824,5,3,2,637
110546741,51279,1764657160,5,3,1,729
104935734,76885,1766841844,4,2,2,270
110986813,82798,1764347828,5,3,2,852
115875772,86532,1763940612,3,2,2,237
148806308,77625,1766415198,5,3,2,494
117734243,88992,1765197608,5,3,2,988
141048124,54147,1763012752,5,3,2,988
109520258,88992,1766875152,4,2,2,26
138640655,23956,1762656555,9,5,2,260
107283469,86532,1764904292,5,3,2,396
122405405,52923,1765398655,7,4,2,273
103569389,76002,1762739122,12,1,2,118
127478706,46817,1764502215,5,3,4,880
113314873,35627,1766454586,5,3,3,835
124790310,32772,1764702546,4,2,2,240
142779765,26160,1764147136,5,3,2,360
110564547,63012,1764826984,5,3,2,807
113755652,27742,1767109277,11,2,2,242
105176157,75866,1763679857,5,3,2,770
140206508,33352,1765099098,5,3,2,939
113446413,61053,1764306402,5,3,2,310
124182824,19949,1766311717,5,3,2,854
126068408,75158,1764889508,5,3,2,305
130711527,23499,1766193611,5,3,2,888
112152513,67654,1766425022,7,4,2,244
139934415,72739,1763059139,4,2,2,300
142705248,39754,1762737575,5,3,2,396
131279359,23956,1763867630,5,3,2,862
116819081,80939,1766548837,5,3,2,369
128141842,84986,1763496116,5,3,2,653
140587196,48204,1766149349,5,3,2,354
143940971,66235,1765124323,5,3,2,527
128388408,57302,1763914055,4,2,1,170
110276527,50726,1766348548,8,4,2,169
100819919,52923,1763952387,5,3,2,915
114340699,69669,1763634267,1,1,2,64
130635572,22227,1766399146,10,5,2,76
138457343,34001,1764874730,5,3,2,335
145708906,35750,1762898492,5,3,2,578
108968829,59669,1766315543,5,3,2,443
125651544,48204,1763160471,5,3,2,567
121810276,32772,1765180296,2,1,2,262
122692550,11436,1766297398,5,3,2,429
101631168,17095,1762612638,5,3,2,735
117200212,17850,1766450137,10,5,2,201
105233563,48700,1763302063,5,3,2,356
131437612,60043,1765091271,5,3,2,303
115348404,61192,1765460860,5,3,2,380
135354592,13262,1765108033,2,1,2,53
117457524,19431,1764529847,6,3,2,51
137503594,14167,1764913692,5,3,2,911
148682790,64121,1766925855,9,5,2,259
133466321,64121,1766107659,5,3,2,716
147755656,14167,1766161497,12,1,2,128
127316472,33352,1766364404,5,3,2,653
149689742,74640,1766351910,8,4,2,250
100111712,65225,1766515012,5,3,2,727
136437516,19949,1765751029,5,3,2,701
103148133,34579,1763636174,6,3,2,235
142420977,32462,1762866306,7,4,2,67
115450516,17095,1764681853,9,5,2,141
121819112,23357,1763913606,5,3,2,404
126914709,45993,1764703194,5,3,2,720
132268480,68832,1763963254,5,3,2,847
149609157,39754,1762643067,9,5,2,214
145205654,64121,1764550733,5,3,2,912
132137331,18585,1762994178,5,3,2,352
113238999,85834,1763376411,5,3,2,883
113122929,27865,1763549981,5,3,2,405
111213192,86532,1763024142,3,2,2,180
116805678,86532,1765015004,5,3,1,893
147654803,37167,1766073951,5,3,2,310
111445586,26160,1763439159,5,3,2,673
135163681,23499,1762816381,5,3,3,916
121113089,45993,1766515628,5,3,2,463
114372930,15936,1766520955,5,3,2,351
107140458,66235,1765675083,5,3,2,675
137668921,55622,1766319339,5,3,2,686
118474538,46866,1765436274,5,3,4,603
147701304,59605,1764001708,5,3,2,738
129186229,61053,1763761128,5,3,3,801
116801424,23956,1763995353,5,3,2,732
108556323,34001,1764135393,5,3,1,930
142687776,85000,1766410273,5,3,2,428
144670532,23499,1763764684,5,3,2,482
145441077,57130,1764611910,4,2,2,215
127180170,59215,1766463308,5,3,2,638
146445553,39611,1765125020,5,3,1,916
124534558,40284,1762853530,5,3,2,618
116667134,19431,1765277368,5,3,2,718
128287895,34001,1764689214,6,3,2,258
124909256,57130,1766043192,11,2,2,289
144601058,34579,1765179636,5,3,3,462
102474112,23357,1767124146,5,3,2,874
146889349,76885,1766318402,7,4,3,66
131093346,60043,1764052302,4,2,2,242
144657238,84780,1766033970,5,3,2,470
102417932,18585,1765704985,5,3,2,435
120151302,78606,1766379027,10,5,2,261
127055508,35750,1766466316,5,3,2,725
143967220,54738,1765787072,5,3,2,999
108221017,45993,1766268475,5,3,2,322
144260615,64121,1765727370,2,1,2,285
106349025,15936,1765837262,11,2,2,114
145681762,46866,1765364086,5,3,2,968
108924202,40284,1766336107,5,3,2,604
116204602,24196,1764256790,5,3,1,418
137549181,59215,1766449789,11,2,2,145
111070591,37167,1764970330,10,5,2,115
127350328,23985,1766532445,5,3,2,760
122448562,59605,1766386592,5,3,2,427
127522655,65225,1766904003,5,3,2,585
126349440,71920,1765964214,5,3,2,684
126059369,23956,1763290703,5,3,2,324
141451314,84986,1763114002,11,2,2,253
143134530,11436,1765481180,6,3,2,222
129042981,39611,1766811308,5,3,2,535
140164694,19431,1766208603,7,4,2,212
104966264,52315,1766629202,5,3,2,813
108464774,65225,1765747360,4,2,2,43
126212345,46425,1763194493,5,3,3,352
109568621,85000,1766664347,11,2,1,192
144938910,22227,1763598513,11,2,2,108
133162426,15936,1767048939,5,3,2,875
149717434,57302,1764479044,12,1,2,54
